VS9000406 | tag=SYSTEM CENTER | corr=
VS9000494 | tag=ebankit | corr=
VS9000506 | tag=JUMP SERVER | corr=
VS9000507 | tag=JUMP SERVER | corr=
VS9000509 | tag=JUMP SERVER | corr=
VS9000726 | tag=RECEBIMENTOS UNITEL | corr=
SV9000401 | tag=EBA | corr=EBA (provavel BD de apoio)
VS8000320 | tag=SERVIDOR DE APLICACOES | corr=CTB/400 (possivel gateway AS/400)
VS8000321 | tag=SERVIDOR DE APLICACOES | corr=CTB/400 (possivel gateway AS/400)
VS8000406 | tag=RECONCILIADOR | corr=MATCHCASH (Reconciliador)
